block,name,value_text,unit,status,source,note
plant,V0,"0.00050000000000000001",m^3,given,user / design,"Initial bladder water 500 mL."
plant,Dref_outer,"0.070000000000000007",m,given,user / mould drawing,"Natural (unpressurised) OUTER diameter 70 mm."
plant,Dref_inner,"0.066000000000000003",m,given,user / mould drawing,"Natural INNER diameter 66 mm. The 2 mm per-side wall implied by 70-66 is the MOULD wall thickness; it is not the wall thickness once the bladder is filled."
plant,Dmin,"0.050000000000000003",m,given,user / design,"Minimum allowed bladder outer diameter 50 mm. A domain guard, not a plant coefficient."
plant,cable_gap,"0.0030000000000000001",m,given,user / design,"Radial clearance from the cable to the bladder outer wall, 3 mm. Enters the geometry through D0/L0/xmax, not the ROM3 right-hand side directly."
plant,material,"Ecoflex 00-20",-,metadata,user confirmed,"Ecoflex 00-20."
plant,material_confirmed_by_user,"true",-,metadata,user confirmed,"Material identity confirmed; its constants are still not measured on this build."
plant,stress100,"55158.058345343998",Pa,given,material datasheet,"Stress at 100% elongation, used to set the Neo-Hookean mu."
plant,rho,"1000",kg/m^3,given,water at room temperature,""
plant,gravity,"9.8100000000000005",m/s^2,given,standard,""
plant,water_viscosity,"0.001",Pa*s,given,water at room temperature,""
plant,pipe_diameter,"0.0040000000000000001",m,given,user / tubing spec,"4 mm internal bore."
plant,pipe_segments,"0.029999999999999999; 0.029999999999999999; 0.29999999999999999",m,given,user / rig layout,"0.03 + 0.03 + 0.30 m."
plant,head,"0.10000000000000001",m,given,user / rig layout,"Bladder outlet is +0.10 m ABOVE the final outlet, so rho*g*h = +981 Pa ASSISTS the flow. The old snapshot value -0.1 is overridden at load time."
plant,shaft_diameter,"0.0050000000000000001",m,given,user / motor spec,"5 mm bare shaft."
plant,effective_radius,"0.0025000000000000001",m,given,user / motor spec,"Bare winding radius 0.0025 m."
plant,mass_equivalent,"0.5",kg,assumption,modeller,"Non-motor equivalent translating mass 0.5 kg. Not measured."
plant,damping,"20",N*s/m,assumption,modeller,"20 N*s/m. Not identified."
plant,friction,"0.10000000000000001",N,assumption,modeller,"0.1 N Coulomb level. Not identified."
plant,friction_velocity,"1.0000000000000001e-05",m/s,assumption,modeller,"1e-5 m/s regularisation velocity for the tanh friction law. Numerical, not physical."
plant,force_max,"15",N,legacy,old fixture limit,"15 N. A LEGACY force-fixture limit. It is NOT the motor capability bound for this stage and must never be substituted for the torque-phase model."
plant,contact_stiffness,"200000",N/m,assumption,modeller,"2e5 N/m button-to-bladder contact stiffness. Not identified."
plant,Rh,"1644008304.5256217",Pa*s/m^3,given,bench effective resistance,"BENCH EFFECTIVE RESISTANCE of the whole waterway at low flow: tube, valve, flowmeter and fittings lumped together. It is NOT a 4 mm outlet resistance and not an identified valve curve. Stage 9 uses it exactly as supplied and does not re-derive or re-check its calibration basis."
plant,force_ramp,"1",s,legacy,old fixture ramp,"Not used by Stage 9."
plant,time_horizon,"3600",s,solver,Stage-8 reference,""
plant,rtol,"2e-08",-,solver,Stage-8 reference,""
plant,atol,"1.9999999999999999e-11; 2.0000000000000001e-10; 2.0000000000000001e-13; 2.0000000000000001e-13; 1.9999999999999999e-11",-,solver,Stage-8 reference,""
plant,max_step,"5",s,solver,Stage-8 reference,""
plant,pressure_reference,"lumped bladder outlet gauge pressure",-,metadata,modeller,"Lumped bladder-outlet gauge pressure."
plant,mu,"31518.890483053714",Pa,derived,from stress100,"Neo-Hookean shear modulus. Datasheet-derived, not measured on the actual bladder."
plant,Vsilicone,"2.9061826440808009e-05",m^3,derived,shell volume from Dref_outer/Dref_inner,"Silicone shell volume, added to the water volume before the equivalent sphere diameter is taken."
plant,Vnatural,"0.00015053255358940854",m^3,derived,from Dref_inner,"Natural internal cavity volume. Below it the spherical-shell extrapolation is unvalidated."
plant,D0,"0.10034658601199008",m,derived,equivalent sphere at V0,"Outer diameter at the initial 500 mL, 0.10034658601199008 m. y = pi*(D0-D(V)) is the cable coordinate."
plant,L0,"0.3340976533496231",m,derived,cable path at V0,"Reference cable length."
plant,xmax,"0.15816846474859467",m,derived,cable travel guard,"Travel limit used by the full reference model guards."
plant,Vmin,"3.6388020508979353e-05",m^3,derived,sphere at Dmin,"Water volume at the 50 mm minimum outer diameter, 36.388 mL. Domain guard."
plant,pipe_length,"0.35999999999999999",m,derived,sum(pipe_segments),"0.36 m of straight tube."
plant,pipe_area,"1.2566370614359172e-05",m^2,derived,pi*d^2/4,""
plant,R_tube,"57295779.513082303",Pa*s/m^3,derived,128*mu_w*L/(pi*d^4),"Theoretical laminar straight-tube resistance. Already CONTAINED in Rh, which is why alba9_loss subtracts it before adding the Darcy branch."
plant,I_tube,"28647889.756541163",Pa*s^2/m^3,derived,rho*L/A,"Hydraulic inertance of the known straight tube."
